codigo,nombre,nombre_corto,sigla,titulo,numero_planes_estudio,codigo_estado,tipo_grupo,monto_tutoria,costo_programa,dep_inicial,siglaNoVersion,siglaNoVersionNumero
99,Aeropuertos en el Sistema de Transporte,Aeropuertos en el Sistema de Transporte,ASA,Asistente,1.0,V,T,0,200,100.0,ASA,0
100,Diplomado en Metodologías de Investigación Cualitativa,Dip. en Met. de Inv. Cualitativa,DME,Diplomado en Metodologías de Investigación Cualitativa,1.0,V,T,100,250,40.0,DME,0
101,Especialidad en Ortodoncia,Esp. en Ortodoncia,EEO,Especialista en Ortodoncia,1.0,V,T,200,4700,10.0,EEO,0
102,Maestría en Educación Superior V.3,Maestría en Educ. Sup. V.3,MES,Magister en Educación Superior,1.0,V,T,300,1100,20.0,MES,0
103,Diplomado en Educación Superior V.7,Diplomado en Educ. Sup. V.7,DES,Diploma en Educación Superior,1.0,V,A,100,350,25.0,DES,0
104,Maestría en Administración Pública V.2,Maestría en Adm. Publica V.2,MAP,Magíster en Administración Pública,1.0,V,A,300,2500,10.0,MAP,0
105,Diplomado en Manejo Integrado de Plagas,Dip. en Manejo Int. de Plagas,DMP,Diplomado en Manejo Integrado de Plagas,1.0,V,T,100,500,22.0,DMP,0
106,Especialización en Ingeniería de Caminos,Esp. en Ing. de Caminos,EIC,Especialista en Ingeniería de Caminos,1.0,V,T,200,1900,10.0,EIC,0
107,Especialidad en Salud Familiar y Comunitaria Sucre,Esp. en Salud Familiar y Comunitaria Sucre,ESC,Especialista en Salud Familiar y Comunitaria,1.0,V,T,1500,9000,10.0,ESC,0
108,Especialidad en Derecho del Gas,Esp. en Derecho del Gas,EDG,Especialista en Derecho del Gas,1.0,V,T,200,1500,10.0,EDG,0
109,Especialización en Recursos Hidráulicos,Esp. en Recursos Hidráulicos,ERH,Especialista en Recursos Hidráulicos,1.0,V,T,200,1700,10.0,ERH,0
110,Diplomado en Sistemas de Información Geográfica,Dip. en Sist. de Inf. Geográfica,DSIG,Diplomado en Sistemas de Información Geográfica,1.0,V,T,750,3375,20.0,DSIG,0
111,Diplomado en Gestión de Estrategias y Políticas Municipales,Dip. en Est. y Pol. Municip.,MEPPD,Diploma en Estrategias y Políticas Municipales,1.0,V,T,100,500,10.0,MEPPD,0
112,Especialidad en Turismo Rural,Esp. en Turismo Rural,ESTR,Especialista en Turismo Rural,1.0,V,T,200,650,10.0,ESTR,0
113,Maestría en Producción Orgánica Sostenible,Maest. en Prod. Org. y Sostenible,MPOS,Magister en Producción Orgánica Sostenible,1.0,V,T,300,2200,10.0,MPOS,0
114,Maestría en Psicomotricidad y Estimulación Múltiple Temprana (Sta. Cruz),Mae. en Psicomotricidad y E.M.T. (Sta. Cruz),EPMT,Magister en Psicomotricidad y Estimulación Múl,1.0,V,T,2250,13750,10.0,EPMT,0
115,Maestría en Psicomotricidad y Estimulación Múltiple Temprana (Sucre),Mae. en Psicomotricidad y E.M.T. (Sucre),MPMT,Magister en Psicomotricidad y Estimulación Múltiple Temprana,1.0,V,T,2250,7350,10.0,MPMT,0
116,Especialidad en Enfermería Obstétrica y Neonatal,Esp. en Enf. Obst. y Neonatal,EEON,Especialista en Enfermería Obstétrica y Neonatal,1.0,V,T,200,1300,10.0,EEON,0
117,Maestría en Investigación y Conservación de la Biodiversidad,Mae. en Inv. y Cons. de la Biodiversidad,MICB,Magister en Investigación y Conservación de la Biodiversidad,1.0,V,T,2250,12750,10.0,MICB,0
118,Especialidad en Diseño de Interiores,Esp. en Diseño de Interiores,EDI,Especialista en Diseño de Interiores,1.0,V,T,200,1000,20.0,EDI,0
119,Especialidad en Tributación,Esp. en Tributación,ESTB,Especialista en Tributación,1.0,V,T,1500,7125,16.8421052631579,ESTB,0
120,Maestría en Agricultura y Agroecología Sostenible,Maestría en Agr. y Agroec. Sostenible,MAAS,Magister en Agricultura y Agroecología Sostenible,1.0,V,T,300,2200,10.0,MAAS,0
121,Diplomado en Lengua Quechua con Enfoque Intercultural Bilingue,Diplomado en Lengua Quechua,DLQ,Diplomado en Lengua Quechua con Enfoque Intercultur,1.0,V,T,100,450,20.0,DLQ,0
122,Diplomado en Enseñanza del Ingles como Lengua Extranjera,Diplomado en Enseñanza del Ingles,DELI,Diplomado en Enseñanza del Ingles como Lengua Extranjera,1.0,V,T,750,2850,10.0,DELI,0
123,Diplomado en Educación Superior V.8,Diplomado en Educ. Sup. V.8,DES8,Diplomado en Educación Superior,1.0,V,A,760,3040,25.0,DES,8
124,Especialidad en Tecnología Educativa,Esp. en Tecnología Educativa,ETED,Especialista en Tecnología Educativa,1.0,V,T,200,900,10.0,ETED,0
125,Diplomado en Temas Curriculares y Gestión Educativa V.4,Dip. en Temas Curriculares y G. Educativa V.4,DTCG,Diplomado en Temas Curriculares y Gestión Educativa,1.0,V,T,750,1275,10.0,DTCG,0
126,"Maestría en Salud Pública con Mención en Gerencia V.2, Montero",Maest. en Salud Pública Mención Gerencia V.2 Montero,MSPG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2500,20000,1.875,MSPG,0
127,Maestría en Kinesiología Traumatológica y Deportiva (Sucre),Mae. Kines. Traum. y Deportiva (Sucre),MKTD,Magister en Kinesiología Traumatológica y Deportiva,1.0,V,T,2250,9750,10.0,MKTD,0
