,id,codig_universidad,codigo_tituloAcademico,fecha_titulacion_academica,fecha_titulacion
0,1115413,19,22,2006-12-15,2007-02-28
1,3971480,19,74,1999-12-10,2000-11-30
2,5496566,19,77,2005-06-10,2005-10-12
3,3909889,19,77,2006-02-16,2006-04-26
4,3643710,19,22,2000-04-28,2002-01-18
5,1147006,19,61,1999-10-22,1999-12-01
6,3650609,19,54,2001-12-21,2002-02-27
7,1273894,19,76,1986-05-13,1991-06-19
8,1035296,19,76,1984-11-23,1985-01-24
9,1075256,19,28,1995-10-03,1997-03-07
10,1050851,19,50,1991-10-01,1991-12-12
11,1056729,19,69,1985-02-12,1985-04-19
12,1098643,19,28,2007-04-25,
13,1392422,12,21,1996-02-08,1996-09-06
14,4095514,19,77,2006-07-21,2006-10-26
15,4631321,19,76,2003-02-14,2003-05-08
16,4082836,19,50,2003-11-14,2004-02-12
17,1115942,19,61,1998-03-24,1998-09-15
18,1116025,19,77,2001-02-09,2001-11-22
19,5633822,19,61,2006-05-19,2006-05-30
20,1062588,19,77,1992-04-15,1995-09-13
21,4112135,19,74,2007-12-14,2008-03-26
22,5492756,19,241,2020-03-07,2020-05-16
23,1075433,19,76,1990-09-13,1992-10-09
24,1081738,19,77,2003-04-08,2003-06-05
25,1092283,19,62,1992-06-24,1992-08-11
26,4087392,19,26,2005-12-02,2005-12-14
27,4111053,19,59,2006-08-11,2006-12-21
28,4644913,19,56,2005-12-09,2007-11-16
29,2288173,18,59,2001-10-15,2007-01-15
30,1932549,20,62,2002-07-05,2006-04-04
31,5499760,19,77,2000-02-03,2000-05-26
32,1144923,19,56,1999-07-09,1999-11-10
33,3682377,19,77,1997-09-08,1999-02-08
34,3965412,19,77,2000-02-29,2000-12-08
35,3527078,19,77,2002-06-21,2002-08-14
36,1112541,19,74,2007-06-15,2007-08-15
37,1046973,19,76,1984-05-30,1984-09-05
38,1047973,19,76,1984-05-30,1984-09-05
39,4119224,19,77,2004-12-10,2005-02-10
40,4083252,19,22,2008-05-01,2008-05-02
41,1037278,19,50,1987-04-01,1988-04-01
42,1037893,19,97,1984-04-11,1984-05-08
43,1097444,19,50,2015-11-26,
44,1087970,19,59,1998-05-14,1999-08-25
45,2639086,19,50,2004-05-07,2006-04-26
46,1085837,23,54,2006-09-22,2007-01-10
47,1104421,19,77,2001-01-30,2001-12-20
48,3637712,19,77,2001-01-30,2002-03-07
49,4272659,18,28,2002-04-25,2002-05-02
50,1109257,19,74,2002-08-23,2002-09-30
51,4630905,19,77,2003-06-24,2004-02-12
52,4009833,19,50,2004-08-27,2004-08-30
53,1112498,19,15,1994-06-15,
54,1057475,19,18,2005-06-03,2005-07-01
55,1145456,19,6,2003-08-22,2003-11-28
56,4110253,19,59,2006-08-11,2006-11-21
57,5557476,19,79,2017-10-25,2017-11-22
58,1080625,19,62,1993-08-10,1993-09-06
59,3643297,19,50,2004-11-12,2005-01-21
60,3645372,19,59,2002-05-10,2002-06-19
61,3646080,19,77,2005-04-08,2006-03-14
62,5637451,19,57,2006-09-07,2007-07-02
63,4090638,19,50,2007-11-30,2007-12-12
64,5495783,19,77,2005-12-09,2006-02-21
65,1094515,19,56,2002-04-05,2002-08-28
66,4114917,19,50,2003-12-12,2004-03-11
67,1058248,19,50,2001-04-27,2001-05-11
68,4631413,19,56,2000-02-02,
69,4086414,19,70,2003-04-03,2003-04-21
70,5631822,19,63,2006-01-27,2006-02-17
71,2322814,19,76,1987-05-21,1987-03-20
72,3247177,9,50,1997-10-24,1997-12-10
73,1145078,19,74,1998-12-14,2000-09-06
74,1115864,19,77,1997-01-27,1998-06-16
75,1112615,19,76,1998-05-05,1999-12-13
76,1065357,19,56,1998-02-02,1998-03-11
77,4119848,19,45,2005-11-18,2006-03-08
78,5486409,19,1,2005-12-15,2007-09-19
79,1145833,19,77,1999-09-13,2001-10-15
80,1072592,19,28,1991-06-17,1999-06-22
81,5633875,19,48,2007-02-02,2008-03-14
82,1108498,19,234,1998-03-11,
83,5043011,10,77,2003-12-02,2003-12-19
84,1818962,10,1,1991-09-25,1991-11-27
85,5085851,19,76,2004-10-29,
86,4118736,19,63,2006-01-27,2006-02-08
87,3625773,19,147,2015-11-13,2015-11-23
88,3989229,19,77,2005-12-15,2006-03-09
89,4005535,19,61,2001-10-05,
90,1078672,19,62,2001-02-19,2002-04-03
91,5487527,19,59,2005-12-15,2007-06-12
92,1143283,19,74,2001-01-19,2001-06-19
93,1036383,19,75,1987-06-25,1987-07-10
94,1115871,19,71,1996-10-16,2012-09-13
95,1143984,19,62,2000-03-31,2001-05-17
96,669791,19,75,1996-01-31,1996-05-09
97,4092572,19,18,2006-02-10,2007-02-07
98,1106299,19,77,1990-01-22,1993-08-03
99,5641807,19,60,2008-01-17,2009-01-19
100,4597647,17,54,2005-08-12,2006-03-14
101,1084651,19,1,1993-08-30,1993-09-24
102,3841746,19,51,2003-10-17,2004-04-02
103,2895355,19,71,2000-12-07,2001-11-08
104,4014046,19,1,2004-04-16,2007-02-21
105,3625016,19,115,2003-08-15,2003-08-15
106,1324464,12,61,1985-02-22,1985-07-30
107,3918074,19,76,2003-06-13,2003-08-15
108,1140338,19,62,1997-06-27,1998-07-10
109,1140611,19,62,1998-09-22,2000-03-08
110,1114399,19,59,2001-05-04,2004-07-02
111,1104643,19,50,2002-08-09,2002-11-15
112,5631676,19,178,2006-12-15,2007-01-22
113,4083641,19,76,2003-08-15,2003-09-12
114,1141548,19,50,1998-10-05,1999-12-01
115,5494567,19,51,2003-06-14,2005-10-27
116,1849470,9,50,1992-03-05,1997-09-20
117,1046926,19,50,1987-12-04,1988-01-13
118,3511203,19,168,1999-04-14,1999-05-24
119,3653269,19,76,2004-06-11,2004-10-19
120,5598669,19,77,2004-06-01,
121,4088156,19,50,2004-07-02,2004-08-09
122,1115720,19,50,2004-03-19,2004-04-02
123,5498141,19,1,2005-12-15,2006-03-28
124,3097241,19,79,1992-03-04,1992-03-16
125,5537454,19,159,2007-06-15,2007-12-12
126,1096660,14,50,2003-09-22,2003-12-12
127,1140414,19,50,2004-12-03,
128,1108073,19,28,1998-03-31,1998-06-09
129,1146587,19,27,2002-11-08,2002-12-06
130,1113074,19,101,2016-01-31,1999-02-10
131,3693986,19,28,2000-02-14,2000-02-25
132,4014974,19,50,2005-07-01,2005-07-26
133,1115793,30,63,2001-09-12,2009-06-12
134,5501992,12,50,2004-12-20,2005-04-06
135,1094918,19,28,1995-10-10,1997-04-28
136,1074795,19,59,1995-07-03,1995-08-30
137,1144868,19,62,1999-11-26,1999-12-15
138,1112705,19,76,1997-01-20,1998-10-01
139,4093768,19,50,2007-06-04,
140,3283774,32,59,2007-05-25,
141,5488535,19,50,2005-12-15,2006-01-26
142,1783804,19,48,1998-06-24,1998-07-29
143,1284316,12,18,2004-04-26,2004-06-22
144,4630811,19,53,2003-06-06,2003-06-23
145,1099721,19,50,1993-10-05,1993-10-20
146,1085688,19,47,2000-05-05,2002-01-30
147,1020900,19,50,1976-02-16,1977-04-22
148,3657024,19,62,2004-02-13,2004-03-04
149,3637876,19,77,2005-12-09,2006-03-02
150,4088625,19,74,2003-12-12,2004-03-04
151,2728951,18,72,2003-06-03,2004-01-12
152,3812931,20,59,2005-07-27,2005-07-27
153,1007045,19,76,1977-01-12,1978-05-31
154,5488118,19,50,2006-06-09,
155,4088924,19,50,2004-10-29,2005-04-20
156,1087730,30,63,2003-08-15,2004-03-23
157,4150195,10,57,2000-03-15,2000-07-24
158,3655408,19,50,2003-11-21,2003-12-11
159,2325894,18,81,1996-03-19,1997-04-01
160,1149363,19,17,2003-06-13,2004-02-02
161,1109351,19,77,2001-05-23,
162,3645453,19,61,2006-12-15,2007-06-14
163,1390399,19,53,1999-03-09,1999-04-12
164,1144779,19,70,1999-05-24,1999-06-04
165,1045668,19,48,1998-09-07,1999-02-09
166,4094131,30,50,2006-06-16,2006-11-16
167,4092369,19,22,2002-06-07,2002-10-04
168,3698077,19,1,1997-10-21,1997-11-07
169,4163365,19,62,2003-02-14,2006-04-11
170,1140222,30,63,2002-12-13,2003-06-04
171,1087752,31,45,1993-12-13,
172,1119027,19,218,1998-06-08,1998-07-30
173,1107596,19,76,1995-01-12,1996-12-13
174,3646743,19,50,2004-11-26,2005-02-11
175,4087636,19,62,2003-12-05,2004-03-25
176,1140837,30,63,2004-12-11,
177,1117198,19,53,2004-05-07,2007-01-18
178,3651512,30,18,2006-12-15,
179,4091366,19,76,2004-02-06,2004-05-31
180,3716997,19,22,2005-12-02,2005-12-15
181,4008160,19,50,2001-10-13,2001-12-21
182,5078727,12,5,2005-05-09,2005-06-06
183,5488260,19,53,2005-12-15,2007-01-17
184,1092946,19,1,2001-04-06,2007-03-08
185,4088472,19,76,2003-04-04,2003-06-20
186,1145543,19,53,2000-06-23,2008-02-27
187,6698419,19,22,2006-08-25,2006-09-11
188,1146561,19,61,2003-03-14,2004-01-23
189,4638860,19,62,2001-04-20,2001-07-20
190,1108601,19,62,1997-02-13,1997-05-22
191,1144822,30,17,2001-09-12,2002-01-29
192,1898523,10,70,2000-05-17,
193,1099700,19,76,2008-01-15,2008-01-25
194,1147201,19,50,2003-07-25,2003-10-23
195,4145527,19,53,2000-12-07,2000-12-07
196,3165912,32,51,1988-12-16,1989-01-24
197,1103723,19,69,1996-12-12,1997-01-20
198,71158309,19,76,2005-06-08,2003-12-10
199,4089733,19,62,2002-12-16,2003-01-13
200,1067702,19,17,2003-05-02,2003-05-21
201,4058339,19,74,2007-01-17,2007-04-25
202,4087412,19,17,2003-05-02,2004-02-26
203,4632644,19,17,2003-05-02,2003-06-24
204,1119317,19,50,2001-10-12,2001-12-18
205,1099360,19,50,2006-08-25,2006-09-07
206,4922735,19,57,2005-09-09,2006-08-08
207,1097250,19,1,2002-01-18,2002-02-15
208,1112083,19,28,1999-10-07,2000-02-13
209,3650720,19,18,2002-03-15,2003-02-21
210,4632280,19,61,2000-06-23,2001-01-26
211,4047945,19,76,2007-04-13,2007-07-27
212,5496163,19,76,2007-02-09,2007-06-15
213,1082547,19,76,1997-04-02,1998-07-10
214,1067835,19,76,2000-02-11,2001-02-22
215,1099949,19,62,1995-08-18,1996-05-03
216,3710822,19,51,2001-11-13,
217,1099918,19,53,2001-06-29,2006-07-24
218,3504337,19,50,2000-11-17,2000-12-13
219,1105256,19,62,2003-12-05,2004-02-12
220,4083007,19,73,2005-09-30,2005-11-14
221,1141424,19,50,2000-06-23,2000-07-03
222,1069571,19,62,1989-01-23,1989-02-10
223,3700411,19,53,2007-02-09,2007-04-18
224,669792,19,76,1988-10-20,1991-02-21
225,1090517,19,62,1991-08-29,1991-09-05
226,5130974,19,76,2007-05-11,
227,1102378,19,72,2003-11-21,2005-11-18
228,1100031,19,59,2005-10-14,2007-02-05
229,1109679,19,50,2009-03-13,2009-03-23
230,3626448,19,46,2002-11-29,2007-03-15
231,4083107,19,17,2002-11-22,2004-03-25
232,4097128,19,50,2003-11-28,2003-12-11
233,1048327,19,50,2006-03-24,2006-04-05
234,1103191,19,62,1997-11-12,1998-01-21
235,1667309,19,53,1994-12-13,1995-12-11
236,1057682,19,50,1989-07-04,1989-07-18
237,3195909,19,53,2006-03-10,2006-04-17
238,1388260,19,1,1995-06-20,1997-09-18
239,54876,19,50,2001-08-10,2001-09-03
240,3629673,19,50,2001-08-30,2001-10-10
241,1057986,19,53,2005-01-28,2005-07-27
242,1032747,19,76,1977-01-13,1978-04-28
243,3646861,19,76,2002-02-08,2003-02-12
244,1045790,19,76,1984-06-08,1984-09-13
245,3649944,19,51,2004-10-15,
246,3655453,19,22,2002-12-06,2004-09-10
247,1114784,30,63,2005-12-09,
248,3652765,30,63,2005-08-10,
249,3652261,19,50,2003-02-07,2003-02-26
250,5499596,19,63,2004-12-17,2005-04-25
251,4111936,19,76,2005-04-29,2005-08-24
252,4115456,19,22,2006-08-25,
253,3628357,19,77,2001-01-12,2001-06-27
254,3638103,19,76,2000-02-25,2000-11-10
255,3652696,19,76,2002-02-22,2002-07-22
256,5630179,19,72,2007-05-11,
257,1096901,19,59,2003-05-23,2003-06-26
258,1115372,19,50,2004-01-30,2004-02-12
259,3638350,19,50,2001-10-26,2001-12-20
260,5115018,19,50,2006-02-17,2006-03-09
261,2798438,19,28,2001-03-23,
262,1097881,19,76,1991-11-12,1993-01-28
263,1141900,19,77,2003-03-21,2003-05-12
264,1109355,19,50,2000-06-23,2000-07-20
265,3643897,19,59,2002-10-04,2003-05-16
266,4086200,19,1,2006-05-26,2006-05-26
267,3638388,19,17,2003-11-14,2004-03-25
268,3655527,19,17,2002-05-10,2002-05-28
269,5138306,19,72,2005-08-26,2006-04-12
270,4016779,19,101,2007-04-05,2007-07-24
271,5646095,19,61,2006-12-15,2007-03-15
272,4089744,19,74,2004-04-16,2004-11-26
273,5487191,19,59,2007-06-29,2007-06-29
274,5490857,19,54,2010-11-12,2010-12-07
275,1104667,19,77,1995-12-30,1996-09-26
276,3549646,19,1,2003-04-11,
277,1054094,19,79,1989-11-22,2007-02-05
278,1059634,19,69,1991-07-02,1991-07-18
279,1053919,19,53,1998-06-23,1998-07-08
280,1140581,19,107,1997-01-31,1997-02-18
281,1069979,19,61,2001-01-19,2001-02-02
282,5634530,19,50,2007-02-16,2007-06-21
283,1117919,19,74,1999-06-23,2000-11-29
284,4089132,12,72,2007-05-18,2007-06-12
285,1075724,19,71,2000-12-06,2001-03-23
286,4082922,19,17,2002-02-22,2002-04-12
287,1070357,19,50,1991-05-28,1991-06-27
288,1106261,19,62,1997-02-13,1997-05-16
289,5088573,19,53,2005-06-29,2006-01-27
290,5487147,19,17,2007-06-29,2007-09-19
291,1806820,19,76,1988-08-26,1991-06-25
292,3274112,19,76,1996-01-30,1997-11-05
293,5647354,19,61,2008-12-19,2009-02-27
294,3625614,19,193,2007-02-15,2009-08-12
295,1140719,19,50,2005-12-15,2006-02-03
296,1052296,19,76,1985-01-11,1985-06-13
297,1048527,19,50,2006-03-24,2006-05-05
298,1115755,19,50,2006-05-05,2006-05-12
299,2325935,19,50,2006-09-22,2006-10-03
300,1111748,19,107,1995-01-10,1995-01-30
301,3656629,19,74,2001-10-30,2003-06-02
302,3710088,19,70,1999-01-04,1999-01-22
303,1061404,19,76,1997-01-17,2003-04-23
304,1034763,19,59,1979-02-07,1981-01-23
305,1070424,19,76,2002-07-05,2002-11-22
306,1092386,19,71,1993-03-29,1994-09-01
307,1283346,20,1,1993-10-18,1993-11-17
308,3972185,19,76,2003-01-31,2004-03-11
309,1145709,19,0,1999-10-29,2000-08-23
310,1140731,19,70,1998-06-23,1998-08-11
311,1093403,19,57,2006-12-08,2007-01-10
312,1034395,19,76,1981-04-02,1982-12-03
313,3655633,19,62,2001-02-02,2002-02-14
314,1427513,19,27,1991-11-21,2000-06-21
315,5637867,19,57,2008-03-14,2008-04-10
316,1143221,19,59,2000-06-30,2004-06-22
317,4074755,19,69,2007-11-24,
318,4630220,12,18,2001-03-20,2001-04-11
319,3172005,19,50,2006-09-15,2006-09-29
320,4095450,19,61,2006-12-15,2007-01-17
321,1104489,19,76,1999-03-11,2000-02-22
322,3650631,19,18,1995-04-03,2000-09-01
323,4082187,19,22,2006-03-24,2006-06-13
324,1143306,19,53,1998-10-20,2006-06-19
325,3662665,19,76,1995-08-16,1995-10-11
326,1099194,19,75,1992-11-18,1993-05-04
327,1094189,19,62,1996-05-23,1996-06-12
328,5071774,19,0,2004-04-23,2004-08-09
329,1057897,23,54,1988-03-14,1989-10-18
330,4092525,19,76,2007-01-26,2007-03-09
331,5496118,19,53,2008-07-11,2008-09-15
332,5499980,19,50,2006-08-18,2007-05-18
333,5230214,16,59,2006-11-13,2007-03-06
334,5031567,19,22,2006-11-03,2006-12-13
335,1100210,33,22,2001-02-02,2005-08-01
336,3625635,19,53,2008-03-28,2008-04-21
337,5630143,19,63,2005-08-18,2005-12-08
338,4822090,19,61,2004-12-17,2005-05-17
339,3652178,19,18,2003-03-14,2003-06-25
340,1092457,19,62,1995-01-30,1995-02-14
341,5495903,19,57,2007-08-31,
342,1113470,19,61,2002-05-10,
343,4480991,25,46,2005-01-11,2005-02-21
344,3269871,20,50,1999-10-11,1999-11-19
345,4083295,19,50,2002-02-01,2003-06-16
346,3626933,19,70,1999-12-10,2000-02-22
347,4631618,19,22,2003-12-05,2012-04-04
348,1405405,19,1,1997-03-24,1997-08-08
349,1056727,19,50,1989-08-09,1989-08-21
350,3629241,19,134,1993-01-19,1993-01-19
351,3652959,19,76,2004-04-30,2004-06-15
352,3629227,19,22,2003-12-05,
353,1097888,19,76,1992-10-05,1993-06-14
354,1107456,19,132,1995-01-18,1995-03-09
355,1062095,20,1,2007-02-22,2007-03-20
356,1149121,19,54,2001-02-09,2004-08-23
357,3625554,19,62,2003-02-21,2004-04-07
358,5672875,19,76,1990-12-11,1993-03-29
359,1107410,19,76,1996-01-31,1998-01-28
360,1069858,19,59,1996-12-02,1996-12-16
361,4083366,19,74,2006-02-03,2007-05-03
362,1119193,19,59,2001-10-26,2002-01-16
363,1338307,12,83,1998-02-02,1998-04-30
364,5402481,19,74,2005-07-07,2006-07-04
365,606296,19,76,1979-11-29,1983-05-30
366,5499872,19,50,2005-04-08,2005-04-21
367,1112622,19,76,2006-04-07,2006-07-26
368,4144246,19,22,2004-10-22,2005-02-25
369,4104721,19,50,2006-05-19,2006-06-12
370,1145553,19,50,2001-10-12,2002-01-15
371,5634867,19,74,2006-02-03,2006-08-15
372,4081347,19,17,2001-03-16,2002-01-25
373,4090085,19,50,2006-02-17,2006-04-05
374,5070048,12,50,2003-04-10,2003-05-29
375,4083718,30,63,2003-12-13,2004-12-10
376,4807940,19,76,2005-04-08,2005-10-12
377,3124226,20,1,1993-03-24,1994-03-16
378,3696630,19,62,2001-09-05,2002-09-13
379,5111843,19,76,2006-06-30,2006-10-03
380,4119058,19,76,2005-04-08,2005-06-27
381,5640640,30,50,2006-12-15,2007-04-30
382,3662626,19,76,2005-02-15,2005-04-11
383,3650660,19,54,2000-12-08,2001-03-28
384,3967262,19,26,2004-05-14,2008-05-22
385,3629841,19,46,2007-08-31,2007-12-26
386,1106956,19,22,2011-06-05,2011-06-30
387,1052190,19,50,2002-01-18,2003-11-21
388,1070495,19,59,2000-08-18,2004-02-05
389,1108711,19,28,2001-02-02,2005-01-31
390,3236865,19,59,2005-06-03,2005-06-23
391,1069952,19,28,2006-12-20,2007-05-21
392,1118542,19,76,1998-08-03,2000-02-22
393,3655011,19,50,2006-12-15,2007-02-05
394,3401387,33,22,2005-10-21,2005-12-16
395,2762028,19,71,1998-05-04,2000-06-01
396,1014820,19,76,1987-08-19,1988-09-29
397,5135592,19,76,2007-03-02,2007-06-14
398,1080660,19,59,2007-02-23,2007-03-12
399,1148568,19,53,2001-02-16,2005-03-02
400,1145244,19,53,1998-04-01,1998-07-09
401,5493633,19,50,2005-11-22,2006-01-10
402,1414219,23,54,1995-12-23,2002-05-13
403,5045546,19,76,2006-10-20,2008-02-29
404,4091289,19,50,2006-02-03,2006-06-12
405,1855990,19,107,2002-06-21,2002-07-31
406,3626786,19,50,2004-01-08,2004-01-01
407,1090325,19,62,2000-07-04,2007-07-27
408,1051533,19,50,2001-12-21,2002-03-27
409,1024007,12,18,2000-01-16,2000-03-29
410,1092836,19,50,2002-03-15,2002-04-02
411,1075701,30,76,2004-03-03,2004-09-10
412,3651205,19,22,2004-11-05,2004-12-17
413,4114140,19,71,2003-03-15,2003-06-11
414,1108990,19,50,1994-07-05,1994-07-22
415,3653120,19,50,2003-08-29,2004-10-07
416,3053968,35,91,1991-01-17,
417,1895694,10,62,1999-04-28,1999-06-18
418,4089557,19,22,2004-10-22,2007-04-16
419,1115076,19,54,2003-08-22,2008-04-07
420,3651099,19,50,2009-02-06,2005-02-18
421,1108153,19,59,2002-08-30,2002-10-28
422,5492483,19,50,2017-08-15,2007-03-20
423,1069458,19,1,1999-03-04,2002-12-05
424,4088925,19,53,2006-10-13,2007-07-20
425,3625058,19,50,2006-08-25,2006-09-05
426,3703564,19,51,1999-05-14,2000-02-23
427,3380873,19,28,2002-06-21,2002-11-22
428,3240629,19,77,1993-02-24,1995-02-22
429,5487127,19,62,2005-07-01,
430,4576146,19,22,2003-06-13,2003-09-26
431,1143314,19,53,2007-03-02,2007-07-16
432,3627036,19,51,2001-03-09,2002-09-23
433,3678802,19,53,2006-12-08,2007-03-12
434,1049118,20,1,1990-02-21,2000-08-24
435,4082816,19,17,2004-12-03,2006-08-21
436,1075658,19,50,2006-03-10,2006-03-20
437,1031258,14,94,1999-02-04,2002-04-17
438,3652821,19,54,2000-06-30,2000-11-15
439,3650893,19,22,2003-04-11,2005-12-02
440,3732993,20,92,2001-05-15,2008-04-25
